Labels,Affinity (kcal/mol)
A29B25,-10.3
A29B26,-8.7
A29B27,-10.6
A29B28,-7.6
A29B29,-10.2
A29B30,-9.3
A29B31,-7.9
A29B32,-10.5
A29B33,-9.7
A29B34,-9.1
A29B35,-10
A29B36,-7.4
A29B37,-9.1
A29B38,-10.3
A29B39,-7.6
A29B40,-10.2
A29B41,-10.5
A29B42,-10.9
A29B43,-10.2
A29B44,-10.5
A29B45,-10.5
A29B46,-10.1
A29B47,-10.4
A29B48,-10.7
A29B49,-8.4
A29B50,-7.8
A30B01,-10.6
A30B02,-10.9
A30B03,-9.6
A30B04,-11.1
A30B05,-9.8
A30B06,-9.9
A30B07,-10.5
A30B08,-11.4
A30B09,-9.3
A30B10,-11.2
A30B11,-10.9
A30B12,-10.9
A30B13,-9.7
A30B14,-9.4
A30B15,-10.9
A30B16,-8.9
A30B17,-10.7
A30B18,-10.9
A30B19,-11.2
A30B20,-10.7
A30B21,-9.1
A30B22,-9.3
A30B23,-11.2
A30B24,-8.9
A30B25,-11.2
A30B26,-10.4
A30B27,-11.3
A30B28,-9.4
A30B29,-11.3
A30B30,-10.6
A30B31,-10.3
A30B32,-10
A30B33,-11
A30B34,-8.9
A30B35,-9.5
A30B36,-8.4
A30B37,-8.9
A30B38,-10.8
A30B39,-9.2
A30B40,-10.6
A30B41,-10.2
A30B42,-11.6
A30B43,-10.9
A30B44,-10.6
A30B45,-11.2
A30B46,-10.4
A30B47,-10.8
A30B48,-11
A30B49,-9.1
A30B50,-9.5
A31B01,-9.8
A31B02,-10
A31B03,-10.1
A31B04,-9.9
A31B05,-8.5
A31B06,-8.3
A31B07,-9.4
A31B08,-10.5
A31B09,-7.7
A31B10,-10.4
A31B11,-9.8
A31B12,-9.8
A31B13,-9.1
A31B14,-8.3
A31B15,-9.5
A31B16,-7.6
A31B17,-9.7
A31B18,-10.1
A31B19,-10
A31B20,-10.6
A31B21,-8.3
A31B22,-7.8
A31B23,-10.1
A31B24,-9.2
A31B25,-10.4
A31B26,-10.3
A31B27,-10.1
A31B28,-9.5
A31B29,-10.1
A31B30,-10.5
A31B31,-9.6
A31B32,-7.9
A31B33,-9.8
A31B34,-7.6
A31B35,-8.2
A31B36,-7.2
A31B37,-7.6
A31B38,-10.1
A31B39,-7.7
A31B40,-9.7
A31B41,-9.6
A31B42,-10.9
A31B43,-10
A31B44,-9.6
A31B45,-10.3
A31B46,-10
A31B47,-9.8
A31B48,-10.3
A31B49,-8.8
A31B50,-7.6
A32B01,-10.7
A32B02,-10.6
A32B03,-10.8
A32B04,-10.9
A32B05,-10.2
A32B06,-9.6
A32B07,-10.7
A32B08,-11.5
A32B09,-9.5
A32B10,-11.1
A32B11,-11
A32B12,-10.8
A32B13,-9
A32B14,-10.2
A32B15,-10.9
A32B16,-8.6
A32B17,-10.3
A32B18,-11
A32B19,-10.7
A32B20,-11.4
A32B21,-10
A32B22,-9.7
A32B23,-11.2
A32B24,-9.7
A32B25,-10.8
A32B26,-10.6
A32B27,-10.1
A32B28,-9.5
A32B29,-10.8
A32B30,-10.3
A32B31,-9.6
A32B32,-10.2
A32B33,-10.8
A32B34,-9.8
A32B35,-9.7
A32B36,-9.1
A32B37,-8.6
A32B38,-11
A32B39,-9.9
A32B40,-10.5
A32B41,-10.9
A32B42,-9.3
A32B43,-10.8
A32B44,-10.5
A32B45,-11.2
A32B46,-10.9
A32B47,-10.8
A32B48,-11.3
A32B49,-9.9
A32B50,-9.9
A33B01,-9.9
A33B02,-10.2
A33B03,-10.3
A33B04,-10.1
A33B05,-10
A33B06,-8
A33B07,-9.9
A33B08,-10.8
A33B09,-9.4
A33B10,-10.5
A33B11,-10.4
A33B12,-10.1
A33B13,-7.2
A33B14,-9.7
A33B15,-10
A33B16,-9.1
A33B17,-9.8
A33B18,-10.3
A33B19,-10.1
A33B20,-11
A33B21,-9
A33B22,-8
A33B23,-10.5
A33B24,-9.1
A33B25,-9.2
A33B26,-10.2
A33B27,-10.2
A33B28,-9.4
A33B29,-10.5
A33B30,-10.3
A33B31,-9.9
A33B32,-10.1
A33B33,-9.6
A33B34,-7.6
A33B35,-8.8
A33B36,-9.1
A33B37,-7.3
A33B38,-10.5
A33B39,-7.9
A33B40,-9.3
A33B41,-10
A33B42,-10.8
A33B43,-10.1
A33B44,-9.9
A33B45,-10.4
A33B46,-9.9
A33B47,-7.9
A33B48,-10.4
A33B49,-9.4
A33B50,-9.3
A34B01,-10.5
A34B02,-10.7
A34B03,-10.8
A34B04,-11.1
A34B05,-10.8
A34B06,-10.4
A34B07,-10.6
A34B08,-11.1
A34B09,-9.6
A34B10,-11.3
A34B11,-12.1
A34B12,-11.2
A34B13,-10.3
A34B14,-9.9
A34B15,-11.1
A34B16,-9.2
